Data Onda Rt_com_atraso Rt_sem_atraso
08/08 2 1.04108235918824 1.01377284177261
09/08 2 1.04706723791094 1.00688068982331
10/08 2 1.05692054552127 0.99918034724082
11/08 2 1.08888988867914 0.990647225563541
12/08 2 1.10969176876161 0.98127744092082
13/08 2 1.12517028684972 0.971333245667761
14/08 2 1.06063092945181 0.961212286037837
15/08 2 1.05001853181508 0.951319344786026
16/08 2 1.04734398683199 0.941984248902993
17/08 2 1.05310670398363 0.933390950824373
18/08 2 0.98131884835226 0.925896094724479
19/08 2 0.906552913661218 0.920121968568119
20/08 2 0.839511982460235 0.916501250732767
21/08 2 0.853589855413441 0.915083577776508
22/08 2 0.852333388411785 0.915626504658954
23/08 2 0.85270415220059 0.917775179462365
24/08 2 0.832874897818386 0.921285571707565
25/08 2 0.847266016835552 0.925962278884038
26/08 2 0.84241795271225 0.931500311570559
27/08 2 0.836379487447847 0.937606553848087
28/08 2 0.825493996113249 0.944063534050672
29/08 2 0.849582365590758 0.950639454561836
30/08 2 0.88239396674486 0.957035458186333
31/08 2 0.928743999826024 0.962884695853312
01/09 2 0.99654868974885 0.96786656621408
02/09 2 1.05718193777616 0.971744219021361
03/09 2 1.1053941705537 0.974380583400828
04/09 2 1.10916411021557 0.975838027083563
05/09 2 1.07207307300827 0.976375323414822
06/09 2 1.02488309887603 0.976396732996599
07/09 2 0.94452205270811 0.976346514968094
08/09 2 0.905921245320988 0.976538035651552
09/09 2 0.91090460387918 0.977080891758558
10/09 1 0.926184700825498 0.97787829914138
11/09 1 0.970737237553109 0.978692786595865
12/09 1 1.04387319722431 0.979281771215884
13/09 1 1.05452284387787 0.97952343249604
14/09 1 1.07867095670777 0.979480761670949
15/09 1 1.03839859683493 0.979390499638686
16/09 1 0.984429223894557 0.979585519576454
17/09 3 0.934910152533455 0.980383981147227
18/09 3 0.909012853832513 0.982025766097873
19/09 3 0.870746051848203 0.984624500864492
20/09 3 0.886875969094226 0.988135976209859
21/09 3 0.905604933279659 0.992408043493593
22/09 3 0.957374058871014 0.997218315160327
23/09 3 1.00744597071181 1.00234709440244
24/09 3 1.05020448749208 1.00768171087762
25/09 3 1.06990838535786 1.01325069186422
26/09 3 1.03072781046818 1.01926049269623
27/09 3 0.978852429681775 1.02604722813625
28/09 3 0.958596816389383 1.03382815645972
29/09 3 0.958708918250684 1.04260150059172
30/09 3 0.917793841389089 1.05232218240011
01/10 2 0.879078259374724 1.06295923230675
02/10 2 0.843668982185261 1.07432421246881
03/10 2 0.905572842635827 1.0859757570211
04/10 2 0.980967920118 1.0971601885069
05/10 2 1.03810125918226 1.10704196263432
06/10 2 1.08231028936034 1.11493637263718
07/10 2 1.1647685621285 1.1202239193018
08/10 2 1.23228992452685 1.12237574079995
09/10 2 1.27240099120274 1.12108331594848
10/10 2 1.25947119458704 1.11621870614941
11/10 2 1.26634104933111 1.1078568299965
12/10 2 1.26010825121134 1.09623731937723
13/10 2 1.24137038730746 1.08171942478729
14/10 2 1.23952805739944 1.06484165381083
15/10 2 1.23762521835544 1.04617192438629
16/10 2 1.25977481730635 1.02620180504969
17/10 2 1.3041551254565 1.00539816807564
18/10 2 1.30469065787471 0.984239600827176
19/10 2 1.31101776971027 0.963446583786539
20/10 2 1.17044441179578 0.944080831050182
21/10 2 1.03567177082208 0.927172407839564
22/10 2 0.92571080055708 0.913559206056459
23/10 2 0.8158845373701 0.90384221799875
24/10 2 0.713468407103084 0.89833287444632
25/10 2 0.640590717793527 0.897133046688817
26/10 2 0.553721176710714 0.899958335756722
27/10 2 0.617475915391582 0.905945289180081
28/10 2 0.7167785459832 0.913921577244361
29/10 2 0.832484640262238 0.922695490867017
30/10 2 0.971609400842049 0.931319620983156
31/10 2 1.10966709267703 0.93933739130258
01/11 2 1.13052688406932 0.94674674880375
02/11 2 1.14075796259605 0.953868907440651
03/11 2 1.14158436089704 0.961256508904857
04/11 2 1.04550493643649 0.969646955135635
05/11 2 0.955679717217717 0.97989534695565
06/11 2 0.848860057862269 0.992854167973569
07/11 2 0.748304972350056 1.00918523739347
08/11 2 0.742186580898167 1.02917430849341
09/11 2 0.707377699663769 1.05276123244996
10/11 2 0.664665706572913 1.07965050494598
11/11 2 0.710960827217427 1.10928784402057
12/11 2 0.766293101000215 1.140818816276
13/11 2 0.86855139063806 1.17318689947477
14/11 2 0.93404279529285 1.20523384416068
15/11 2 1.02714512162609 1.23573355526046
16/11 2 1.218920016357 1.26325169700293
17/11 2 1.35042725500964 1.2862886157644
18/11 2 1.51333733224866 1.303587945383
19/11 1 1.61729106854539 1.31421427980619
20/11 1 1.69832776297133 1.31750503407267
21/11 1 1.81041695937443 1.31311346617773
22/11 1 1.84098813068133 1.30115076574018
23/11 1 1.71263752350824 1.2827304164596
24/11 1 1.60595613229607 1.25983927971469
25/11 1 1.48201263946777 1.23443815490693
26/11 1 1.38815317576505 1.20812024408669
27/11 1 1.31469342747145 1.18223936389288
28/11 1 1.23242449093646 1.15798534055543
