Data Onda Rt_com_atraso Rt_sem_atraso
06/10 2 0.851471009879467 0.833613992281062
07/10 2 0.844945988367659 0.831283795257558
08/10 2 0.786600022895431 0.831725385284334
09/10 2 0.768955916528309 0.835088682731255
10/10 2 0.763002627168424 0.84132910363817
13/10 2 0.734935553303383 0.850251465069677
14/10 2 0.706875031279668 0.861752317655763
15/10 1 0.666853818986431 0.875739964190292
16/10 1 0.611064939417732 0.89205477392648
17/10 1 0.627860337883817 0.910406205141173
19/10 1 0.65356072355735 0.930294153339559
20/10 1 0.714416039115056 0.95114881414797
21/10 1 0.883040420938858 0.972343131427569
22/10 1 0.951362732428295 0.993290886690189
23/10 1 1.0252027916332 1.01386296473327
24/10 1 1.09407630099735 1.03418978321782
26/10 1 1.13362589259295 1.05442165855991
27/10 1 1.1107500621872 1.07489802612839
28/10 1 1.05941793898893 1.09611090938783
29/10 1 0.953059696432179 1.11852661945497
03/11 1 0.951594563607435 1.14249308135883
04/11 1 0.917866908101272 1.16800514232493
05/11 1 0.911893993042352 1.19482380784794
06/11 1 0.942635684991627 1.22244620128789
09/11 1 1.01562020295456 1.24986363631381
10/11 1 1.09023674914767 1.27587344444797
11/11 1 1.22295969693339 1.29914729094336
12/11 1 1.38335524180313 1.31804563422422
13/11 1 1.56504726705683 1.33101796384965
16/11 1 1.6613324496459 1.33705393528863
17/11 1 1.69181124957371 1.33593103192623
18/11 1 1.67073822578787 1.32811422609523
19/11 1 1.61019889083084 1.31436034315886
20/11 1 1.52876204849679 1.29590171744501
23/11 1 1.44699728246618 1.27429540564237
24/11 1 1.43965793715755 1.25065380942275
25/11 1 1.42053447507739 1.22587443434517
26/11 2 1.3760712798767 1.20100359232339
27/11 2 1.28184639029522 1.17754964175711
30/11 2 1.25889891874412 1.1570753418645
01/12 2 1.22100029097906 1.14017314577363
02/12 2 1.16572181401388 1.12735929728996
03/12 2 1.04176517706637 1.11993773072259
04/12 2 0.9665970157587 1.11872012150141
09/12 2 0.928510523120531 1.12381770030134
10/12 3 0.925252520968042 1.13409991340034
11/12 3 0.953744978600277 1.1475285036542
14/12 3 1.02443066781225 1.16208531594222
15/12 3 1.09981966672592 1.17588120924479
16/12 3 1.21358575927337 1.18675522042631
17/12 3 1.29965143127689 1.19298066913602
18/12 3 1.29750204858846 1.19366756485147
21/12 3 1.33315231240515 1.18935528825911
22/12 3 1.28533065952142 1.18128085620018
23/12 3 1.26046585903956 1.17042265685242
